train_ids,valid_ids,test_ids
25-400,25-591,25-581
25-593,25-383,25-398
25-678,25-34,25-631
25-702,25-113,25-446
25-416,25-635,25-190
25-614,25-718,25-331
25-758,25-526,25-455
25-31,25-734,25-498
25-276,25-420,25-739
25-621,25-95,25-736
25-374,25-513,25-144
25-109,25-311,25-514
25-300,25-24,25-528
25-252,25-663,25-156
25-338,25-618,25-368
25-112,25-238,25-35
25-453,25-517,25-9
25-428,25-72,25-28
25-74,25-377,25-703
25-430,25-240,25-37
25-30,25-710,25-44
25-403,25-39,25-373
25-181,25-682,25-587
25-530,25-740,25-103
25-571,25-580,25-424
25-659,25-360,25-257
25-662,25-227,25-685
25-680,25-92,25-404
25-292,25-358,25-332
25-750,25-507,25-724
25-569,25-699,25-381
25-749,25-329,25-679
25-20,25-694,25-226
25-449,25-664,25-508
25-372,25-729,25-539
25-713,25-549,25-676
25-592,25-278,25-759
25-69,25-696,25-688
25-211,25-50,25-394
25-78,25-519,25-147
25-473,25-709,25-562
25-307,25-433,25-90
25-741,25-644,25-541
25-298,25-583,25-158
25-412,25-442,25-137
25-134,25-123,25-198
25-761,25-130,25-330
25-628,25-743,25-657
25-43,25-512,25-7
25-747,25-178,25-220
25-579,25-407,25-544
25-570,25-232,25-80
25-623,25-684,25-393
25-122,25-538,25-87
25-26,25-371,25-469
25-727,25-392,25-511
25-314,25-545,25-634
25-135,25-668,25-721
25-450,25-98,25-613
25-183,25-71,25-62
25-73,25-155,25-108
25-55,25-312,25-415
25-203,25-297,25-200
25-728,25-490,25-210
25-596,25-366,25-308
25-5,25-89,25-559
25-444,25-363,25-576
25-163,25-359,25-506
25-748,25-216,25-681
25-104,25-437,25-472
25-502,25-54,25-474
25-629,25-484,25-120
25-459,25-648,25-605
25-732,25-328,25-440
25-601,25-286,25-333
25-451,25-756,25-106
25-159,25-492,25-647
25-96,25-68,25-701
25-661,25-496,25-665
25-384,25-649,25-650
25-410,,25-706
25-36,,25-195
25-715,,25-594
25-755,,25-152
25-712,,25-128
25-164,,25-510
25-138,,25-707
25-321,,25-82
25-744,,25-177
25-567,,25-149
25-693,,25-611
25-671,,25-711
25-733,,25-471
25-182,,25-574
25-595,,25-620
25-448,,25-667
25-129,,25-77
25-233,,25-405
25-27,,25-556
25-42,,25-380
25-686,,25-548
25-150,,
25-102,,
25-334,,
25-615,,
25-53,,
25-515,,
25-603,,
25-145,,
25-582,,
25-488,,
25-669,,
25-704,,
25-705,,
25-720,,
25-543,,
25-489,,
25-57,,
25-79,,
25-41,,
25-719,,
25-610,,
25-639,,
25-575,,
25-622,,
25-386,,
25-573,,
25-118,,
25-462,,
25-376,,
25-572,,
25-81,,
25-88,,
25-604,,
25-578,,
25-140,,
25-660,,
25-396,,
25-349,,
25-142,,
25-174,,
25-731,,
25-751,,
25-355,,
25-683,,
25-327,,
25-397,,
25-382,,
25-84,,
25-529,,
25-486,,
25-687,,
25-322,,
25-148,,
25-263,,
25-655,,
25-558,,
25-23,,
25-117,,
25-270,,
25-651,,
25-250,,
25-760,,
25-447,,
25-726,,
25-12,,
25-597,,
25-399,,
25-284,,
25-254,,
25-439,,
25-86,,
25-251,,
25-714,,
25-763,,
25-277,,
25-65,,
25-600,,
25-525,,
25-212,,
25-91,,
25-561,,
25-636,,
25-730,,
25-577,,
25-497,,
25-409,,
25-67,,
25-485,,
25-518,,
25-4,,
25-482,,
25-49,,
25-645,,
25-468,,
25-14,,
25-408,,
25-652,,
25-533,,
25-495,,
25-364,,
25-52,,
25-568,,
25-151,,
25-239,,
25-285,,
25-165,,
25-619,,
25-438,,
25-427,,
25-173,,
25-476,,
25-557,,
25-33,,
25-157,,
25-670,,
25-542,,
25-344,,
25-535,,
25-654,,
25-162,,
25-141,,
25-527,,
25-491,,
25-139,,
25-534,,
25-313,,
25-217,,
25-279,,
25-60,,
25-255,,
25-689,,
25-566,,
25-161,,
25-343,,
25-584,,
25-184,,
25-609,,
25-477,,
25-342,,
25-61,,
25-565,,
25-481,,
25-499,,
25-388,,
25-436,,
25-199,,
25-249,,
25-351,,
25-762,,
25-1,,
25-658,,
25-509,,
25-757,,
25-350,,
25-411,,
25-523,,
25-445,,
25-76,,
25-722,,
25-503,,
25-299,,
25-339,,
25-101,,
25-191,,
25-560,,
25-466,,
25-46,,
25-746,,
25-58,,
25-111,,
25-602,,
25-653,,
25-431,,
25-646,,
25-75,,
25-269,,
25-725,,
25-406,,
25-467,,
25-554,,
25-612,,
25-256,,
25-588,,
25-540,,
25-352,,
25-387,,
25-395,,
25-379,,
25-160,,
25-638,,
25-385,,
25-563,,
25-742,,
25-153,,
25-475,,
25-110,,
25-202,,
25-735,,
25-119,,
25-520,,
25-677,,
25-367,,
25-708,,
25-317,,
25-114,,
25-124,,
25-443,,
25-470,,
25-698,,
25-564,,
25-505,,
25-640,,
25-271,,
25-452,,
25-272,,
25-97,,
25-375,,
25-282,,
25-422,,
25-213,,
